Animal_ID,ToeClip,BC_Cage,Treatment,Week,Regeneration
BC284,3235,36,AdLib,7,NA
BC288,3253,32,DR.IGF1,7,15
BC290,3300,32,DR.IGF2,7,5
BC298,3313,36,DR.IGF2,7,19
BC312,3351,28,DR.IGF2,7,12
BC315,3355,15,DR,7,21
BC316,3400,8,DR.IGF2,7,12
BC322,3411,15,DR,7,NA
BC327,3421,32,DR.IGF1,7,4
BC333,3435,36,AdLib,7,25
BC335,3451,35,AdLib,7,18
BC336,3452,35,DR.IGF2,7,24
BC337,3453,35,DR.IGF2,7,24
BC338,3455,35,DR,7,8
BC344,3510,31,DR.IGF2,7,12
BC350,3521,29,DR.IGF2,7,NA
BC351,3522,29,DR,7,7
BC352,3523,29,DR.IGF2,7,23
BC360,3551,25,DR,7,29
BC361,3552,25,AdLib,7,26
BC362,3555,25,DR.IGF1,7,13
BC364,4000,25,DR,7,20
BC380,4031,20,DR,7,NA
BC383,4035,20,DR,7,6
BC384,4050,19,AdLib,7,NA
BC386,4052,19,DR,7,9.5
BC392,4103,39,DR.IGF2,7,10
BC393,4105,39,DR.IGF1,7,19
BC401,4122,32,DR.IGF1,7,NA
BC402,4123,28,DR.IGF2,7,16
BC403,4125,28,AdLib,7,NA
BC410,4151,18,AdLib,7,16
BC413,4155,18,DR.IGF1,7,NA
BC433,4250,45,DR.IGF1,7,12.5
BC434,4251,45,AdLib,7,16
BC435,4252,45,DR.IGF2,7,15.5
BC436,4253,45,DR,7,9
BC452,4325,45,DR.IGF1,7,NA
BC457,4335,46,AdLib,7,16
BC460,4352,46,DR.IGF1,7,16
BC461,4353,46,DR.IGF1,7,15
BC464,4401,46,DR.IGF1,7,15
BC475,4503,50,DR,7,15.5
BC476,4505,50,AdLib,7,16
BC477,4510,50,AdLib,7,24
BC512,5030,59,DR.IGF2,7,13
BC535,5133,39,AdLib,7,15
BC539,5152,28,DR.IGF2,7,NA
BC546,5205,29,DR.IGF2,7,21.5
BC556,5225,50,DR.IGF1,7,21
BC560,5233,NA,DR.IGF1,7,16
BC561,5235,NA,DR,7,15
BC563,5251,NA,DR.IGF1,7,NA
BC566,5255,59,AdLib,7,24
BC514,5032,59,DR,7,NA
BC538,5151,32,DR,7,NA
BC039,1455,32,DR.IGF1,8,24
BC048,1513,28,AdLib,8,16
BC099,1/2111,9,AdLib,8,20
BC121,2203,32,DR.IGF1,8,15
BC144,2301,39,DR,8,18
BC158,2330,28,DR.IGF2,8,17
BC161,2333,8,AdLib,8,17
BC174,2411,36,DR.IGF1,8,NA
BC181,2425,39,DR,8,15
BC184,2432,39,DR,8,17
BC197,2510,28,DR.IGF1,8,18
BC205,2523,15,DR.IGF2,8,23
BC211,2550,28,AdLib,8,25
BC214,2555,8,DR,8,17
BC234,3505,NA,DR.IGF1,8,NA
BC260,3150,32,DR,8,NA
BC265,3200,11,DR.IGF1,8,12
BC266,3201,11,DR.IGF2,8,15
BC268,3203,11,DR,8,9
BC272,3212,11,DR.IGF2,8,13
BC274,3215,11,AdLib,8,20.5
BC275,3220,8,AdLib,8,NA
BC276,3221,11,AdLib,8,22
BC280,3230,11,DR.IGF1,8,NA
BC284,3235,36,AdLib,8,NA
BC288,3253,32,DR.IGF1,8,15
BC290,3300,32,DR.IGF2,8,NA
BC298,3313,36,DR.IGF2,8,19
BC312,3351,28,DR.IGF2,8,13.5
BC315,3355,15,DR,8,22
BC316,3400,8,DR.IGF2,8,11
BC322,3411,15,DR,8,NA
BC327,3421,32,DR.IGF1,8,4
BC333,3435,36,AdLib,8,26
BC335,3451,35,AdLib,8,20
BC336,3452,35,DR.IGF2,8,26
BC337,3453,35,DR.IGF2,8,25
BC338,3455,35,DR,8,8
BC344,3510,31,DR.IGF2,8,NA
BC350,3521,29,DR.IGF2,8,NA
BC351,3522,29,DR,8,8
BC352,3523,29,DR.IGF2,8,9
BC360,3551,25,DR,8,26
BC361,3552,25,AdLib,8,27
BC362,3555,25,DR.IGF1,8,NA
BC364,4000,25,DR,8,22
BC380,4031,20,DR,8,NA
BC383,4035,20,DR,8,NA
BC384,4050,19,AdLib,8,NA
BC386,4052,19,DR,8,10
BC392,4103,39,DR.IGF2,8,10
BC393,4105,39,DR.IGF1,8,19
BC401,4122,32,DR.IGF1,8,NA
BC402,4123,28,DR.IGF2,8,NA
BC403,4125,28,AdLib,8,NA
BC410,4151,18,AdLib,8,16
BC413,4155,18,DR.IGF1,8,NA
BC433,4250,45,DR.IGF1,8,13
BC434,4251,45,AdLib,8,16.5
BC435,4252,45,DR.IGF2,8,16
BC436,4253,45,DR,8,10
BC452,4325,45,DR.IGF1,8,NA
BC457,4335,46,AdLib,8,17
BC460,4352,46,DR.IGF1,8,17
BC461,4353,46,DR.IGF1,8,17
BC464,4401,46,DR.IGF1,8,16
BC475,4503,50,DR,8,17
BC476,4505,50,AdLib,8,19.5
BC477,4510,50,AdLib,8,26
BC512,5030,59,DR.IGF2,8,14
BC535,5133,39,AdLib,8,16
BC539,5152,28,DR.IGF2,8,NA
BC546,5205,29,DR.IGF2,8,23
BC556,5225,50,DR.IGF1,8,22.5
BC560,5233,NA,DR.IGF1,8,17
BC561,5235,NA,DR,8,15
BC563,5251,NA,DR.IGF1,8,NA
BC566,5255,59,AdLib,8,NA
BC514,5032,59,DR,8,NA
BC538,5151,32,DR,8,NA
